2018-04-18 00:18:37 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-18 00:18:57 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 723 MB
2018-04-18 00:19:17 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 723 MB
2018-04-18 00:19:37 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 00:19:57 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 723 MB
2018-04-18 00:20:17 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 723 MB
2018-04-18 00:20:37 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 723 MB
2018-04-18 00:20:57 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 00:21:17 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 723 MB
2018-04-18 00:21:37 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 723 MB
2018-04-18 00:21:57 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 723 MB
2018-04-18 00:22:17 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 00:22:37 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 723 MB
2018-04-18 00:22:57 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 723 MB
2018-04-18 00:23:17 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 00:23:37 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 723 MB
2018-04-18 00:23:57 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 723 MB
2018-04-18 00:24:17 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-18 00:24:37 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 00:24:57 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-18 00:25:17 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 723 MB
2018-04-18 00:25:37 FINER test.Simulate$MemoryLogger run -- Using 102 MB out of 723 MB
2018-04-18 00:25:57 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 00:26:17 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 723 MB
2018-04-18 00:26:38 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-18 00:26:58 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-18 00:27:18 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
2018-04-18 00:27:38 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 723 MB
