2018-04-18 04:54:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-18 04:55:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 117 on Area1
2018-04-18 04:55:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 242 on Area1
2018-04-18 04:55:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 366 on Area1
2018-04-18 04:56:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 494 on Area1
2018-04-18 04:56:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 622 on Area1
2018-04-18 04:56:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 752 on Area1
2018-04-18 04:57:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 881 on Area1
2018-04-18 04:57:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1011 on Area1
2018-04-18 04:57:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1141 on Area1
2018-04-18 04:58:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1270 on Area1
2018-04-18 04:58:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1400 on Area1
2018-04-18 04:58:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1529 on Area1
2018-04-18 04:59:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1658 on Area1
2018-04-18 04:59:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1785 on Area1
2018-04-18 04:59:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1914 on Area1
2018-04-18 05:00:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2044 on Area1
2018-04-18 05:00:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2171 on Area1
2018-04-18 05:00:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2301 on Area1
2018-04-18 05:01:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2429 on Area1
2018-04-18 05:01:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2559 on Area1
2018-04-18 05:01:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2687 on Area1
2018-04-18 05:02:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2814 on Area1
2018-04-18 05:02:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2942 on Area1
2018-04-18 05:02:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3070 on Area1
2018-04-18 05:03:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3198 on Area1
2018-04-18 05:03:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3326 on Area1
2018-04-18 05:03:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3454 on Area1
2018-04-18 05:04:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3582 on Area1
2018-04-18 05:04:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3712 on Area1
2018-04-18 05:04:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3839 on Area1
2018-04-18 05:05:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3967 on Area1
2018-04-18 05:05:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4096 on Area1
2018-04-18 05:05:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4225 on Area1
2018-04-18 05:06:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4353 on Area1
2018-04-18 05:06:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4478 on Area1
2018-04-18 05:06:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4606 on Area1
2018-04-18 05:07:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4733 on Area1
2018-04-18 05:07:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4862 on Area1
2018-04-18 05:07:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4988 on Area1
2018-04-18 05:08:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5116 on Area1
2018-04-18 05:08:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5243 on Area1
2018-04-18 05:08:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5372 on Area1
2018-04-18 05:09:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5500 on Area1
2018-04-18 05:09:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5629 on Area1
2018-04-18 05:09:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5757 on Area1
2018-04-18 05:10:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5884 on Area1
2018-04-18 05:10:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6011 on Area1
2018-04-18 05:10:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6138 on Area1
2018-04-18 05:11:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6265 on Area1
2018-04-18 05:11:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6393 on Area1
2018-04-18 05:11:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6520 on Area1
2018-04-18 05:12:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6649 on Area1
2018-04-18 05:12:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6777 on Area1
2018-04-18 05:12:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6904 on Area1
2018-04-18 05:13:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7032 on Area1
2018-04-18 05:13:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7160 on Area1
2018-04-18 05:13:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7289 on Area1
2018-04-18 05:14:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7417 on Area1
2018-04-18 05:14:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7542 on Area1
2018-04-18 05:14:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7667 on Area1
2018-04-18 05:15:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7795 on Area1
2018-04-18 05:15:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7923 on Area1
2018-04-18 05:15:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8051 on Area1
2018-04-18 05:16:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8178 on Area1
2018-04-18 05:16:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8305 on Area1
2018-04-18 05:16:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8434 on Area1
2018-04-18 05:17:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8561 on Area1
2018-04-18 05:17:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8690 on Area1
2018-04-18 05:17:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8818 on Area1
2018-04-18 05:18:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8947 on Area1
2018-04-18 05:18:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9075 on Area1
2018-04-18 05:18:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9202 on Area1
2018-04-18 05:19:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9331 on Area1
2018-04-18 05:19:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9460 on Area1
2018-04-18 05:19:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9588 on Area1
2018-04-18 05:20:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9714 on Area1
2018-04-18 05:20:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9841 on Area1
2018-04-18 05:20:44 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9970 on Area1
2018-04-18 05:21:04 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10098 on Area1
2018-04-18 05:21:24 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10225 on Area1
