2018-04-21 16:05:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-21 16:05:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7803 on Area1
2018-04-21 16:05:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11233 on Area1
2018-04-21 16:06:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15359 on Area1
2018-04-21 16:06:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17536 on Area1
2018-04-21 16:06:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19307 on Area1
2018-04-21 16:07:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21366 on Area1
2018-04-21 16:07:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23153 on Area1
2018-04-21 16:07:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24894 on Area1
2018-04-21 16:08:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26840 on Area1
2018-04-21 16:08:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28258 on Area1
2018-04-21 16:08:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 29558 on Area1
2018-04-21 16:09:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 31063 on Area1
2018-04-21 16:09:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 32157 on Area1
2018-04-21 16:09:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 33198 on Area1
2018-04-21 16:10:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 34407 on Area1
2018-04-21 16:10:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 36510 on Area1
