2018-04-21 22:38:50 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-21 22:39:10 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 723 MB
2018-04-21 22:39:30 FINER test.Simulate$MemoryLogger run -- Using 92 MB out of 723 MB
2018-04-21 22:39:50 FINER test.Simulate$MemoryLogger run -- Using 131 MB out of 723 MB
2018-04-21 22:40:10 FINER test.Simulate$MemoryLogger run -- Using 171 MB out of 723 MB
2018-04-21 22:40:30 FINER test.Simulate$MemoryLogger run -- Using 197 MB out of 723 MB
2018-04-21 22:40:50 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 723 MB
2018-04-21 22:41:10 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-21 22:41:30 FINER test.Simulate$MemoryLogger run -- Using 115 MB out of 723 MB
2018-04-21 22:41:50 FINER test.Simulate$MemoryLogger run -- Using 141 MB out of 723 MB
2018-04-21 22:42:10 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 723 MB
2018-04-21 22:42:30 FINER test.Simulate$MemoryLogger run -- Using 184 MB out of 723 MB
2018-04-21 22:42:50 FINER test.Simulate$MemoryLogger run -- Using 202 MB out of 723 MB
2018-04-21 22:43:10 FINER test.Simulate$MemoryLogger run -- Using 224 MB out of 723 MB
2018-04-21 22:43:30 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 723 MB
2018-04-21 22:43:50 FINER test.Simulate$MemoryLogger run -- Using 100 MB out of 723 MB
2018-04-21 22:44:10 FINER test.Simulate$MemoryLogger run -- Using 125 MB out of 723 MB
2018-04-21 22:44:30 FINER test.Simulate$MemoryLogger run -- Using 144 MB out of 723 MB
2018-04-21 22:44:50 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-21 22:45:10 FINER test.Simulate$MemoryLogger run -- Using 180 MB out of 723 MB
2018-04-21 22:45:30 FINER test.Simulate$MemoryLogger run -- Using 198 MB out of 723 MB
2018-04-21 22:45:50 FINER test.Simulate$MemoryLogger run -- Using 213 MB out of 723 MB
2018-04-21 22:46:10 FINER test.Simulate$MemoryLogger run -- Using 231 MB out of 723 MB
2018-04-21 22:46:30 FINER test.Simulate$MemoryLogger run -- Using 245 MB out of 723 MB
2018-04-21 22:46:50 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 723 MB
2018-04-21 22:47:10 FINER test.Simulate$MemoryLogger run -- Using 113 MB out of 723 MB
2018-04-21 22:47:30 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 723 MB
2018-04-21 22:47:50 FINER test.Simulate$MemoryLogger run -- Using 142 MB out of 723 MB
2018-04-21 22:48:10 FINER test.Simulate$MemoryLogger run -- Using 161 MB out of 723 MB
2018-04-21 22:48:30 FINER test.Simulate$MemoryLogger run -- Using 175 MB out of 723 MB
2018-04-21 22:48:50 FINER test.Simulate$MemoryLogger run -- Using 190 MB out of 723 MB
2018-04-21 22:49:10 FINER test.Simulate$MemoryLogger run -- Using 205 MB out of 723 MB
2018-04-21 22:49:30 FINER test.Simulate$MemoryLogger run -- Using 220 MB out of 723 MB
2018-04-21 22:49:50 FINER test.Simulate$MemoryLogger run -- Using 231 MB out of 723 MB
