2018-04-19 17:36:31 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-19 17:36:51 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-19 17:37:11 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 723 MB
2018-04-19 17:37:31 FINER test.Simulate$MemoryLogger run -- Using 131 MB out of 723 MB
2018-04-19 17:37:51 FINER test.Simulate$MemoryLogger run -- Using 164 MB out of 723 MB
2018-04-19 17:38:11 FINER test.Simulate$MemoryLogger run -- Using 197 MB out of 723 MB
2018-04-19 17:38:31 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 723 MB
2018-04-19 17:38:51 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 723 MB
2018-04-19 17:39:11 FINER test.Simulate$MemoryLogger run -- Using 119 MB out of 723 MB
2018-04-19 17:39:31 FINER test.Simulate$MemoryLogger run -- Using 141 MB out of 723 MB
2018-04-19 17:39:51 FINER test.Simulate$MemoryLogger run -- Using 162 MB out of 723 MB
2018-04-19 17:40:11 FINER test.Simulate$MemoryLogger run -- Using 184 MB out of 723 MB
2018-04-19 17:40:31 FINER test.Simulate$MemoryLogger run -- Using 202 MB out of 723 MB
2018-04-19 17:40:51 FINER test.Simulate$MemoryLogger run -- Using 221 MB out of 723 MB
2018-04-19 17:41:11 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 723 MB
2018-04-19 17:41:31 FINER test.Simulate$MemoryLogger run -- Using 96 MB out of 723 MB
2018-04-19 17:41:51 FINER test.Simulate$MemoryLogger run -- Using 114 MB out of 723 MB
2018-04-19 17:42:12 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 723 MB
2018-04-19 17:42:32 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 723 MB
2018-04-19 17:42:52 FINER test.Simulate$MemoryLogger run -- Using 169 MB out of 723 MB
2018-04-19 17:43:12 FINER test.Simulate$MemoryLogger run -- Using 187 MB out of 723 MB
2018-04-19 17:43:32 FINER test.Simulate$MemoryLogger run -- Using 202 MB out of 723 MB
2018-04-19 17:43:52 FINER test.Simulate$MemoryLogger run -- Using 216 MB out of 723 MB
2018-04-19 17:44:12 FINER test.Simulate$MemoryLogger run -- Using 234 MB out of 723 MB
2018-04-19 17:44:32 FINER test.Simulate$MemoryLogger run -- Using 245 MB out of 723 MB
2018-04-19 17:44:52 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 723 MB
2018-04-19 17:45:12 FINER test.Simulate$MemoryLogger run -- Using 109 MB out of 723 MB
2018-04-19 17:45:32 FINER test.Simulate$MemoryLogger run -- Using 124 MB out of 723 MB
2018-04-19 17:45:52 FINER test.Simulate$MemoryLogger run -- Using 139 MB out of 723 MB
2018-04-19 17:46:12 FINER test.Simulate$MemoryLogger run -- Using 153 MB out of 723 MB
2018-04-19 17:46:32 FINER test.Simulate$MemoryLogger run -- Using 168 MB out of 723 MB
