2018-04-19 02:06:54 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-19 02:07:14 FINER test.Simulate$MemoryLogger run -- Using 38 MB out of 704 MB
2018-04-19 02:07:34 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 738 MB
2018-04-19 02:07:54 FINER test.Simulate$MemoryLogger run -- Using 405 MB out of 753 MB
2018-04-19 02:08:14 FINER test.Simulate$MemoryLogger run -- Using 281 MB out of 779 MB
2018-04-19 02:08:34 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 743 MB
2018-04-19 02:08:54 FINER test.Simulate$MemoryLogger run -- Using 111 MB out of 708 MB
2018-04-19 02:09:14 FINER test.Simulate$MemoryLogger run -- Using 225 MB out of 667 MB
2018-04-19 02:09:34 FINER test.Simulate$MemoryLogger run -- Using 208 MB out of 630 MB
2018-04-19 02:09:54 FINER test.Simulate$MemoryLogger run -- Using 129 MB out of 594 MB
2018-04-19 02:10:14 FINER test.Simulate$MemoryLogger run -- Using 236 MB out of 564 MB
2018-04-19 02:10:34 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 533 MB
2018-04-19 02:10:54 FINER test.Simulate$MemoryLogger run -- Using 28 MB out of 507 MB
2018-04-19 02:11:14 FINER test.Simulate$MemoryLogger run -- Using 156 MB out of 486 MB
2018-04-19 02:11:34 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 465 MB
2018-04-19 02:11:54 FINER test.Simulate$MemoryLogger run -- Using 105 MB out of 449 MB
2018-04-19 02:12:14 FINER test.Simulate$MemoryLogger run -- Using 19 MB out of 433 MB
2018-04-19 02:12:34 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 423 MB
2018-04-19 02:12:54 FINER test.Simulate$MemoryLogger run -- Using 76 MB out of 414 MB
2018-04-19 02:13:14 FINER test.Simulate$MemoryLogger run -- Using 26 MB out of 402 MB
2018-04-19 02:13:34 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 402 MB
2018-04-19 02:13:54 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 402 MB
2018-04-19 02:14:14 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 402 MB
2018-04-19 02:14:34 FINER test.Simulate$MemoryLogger run -- Using 21 MB out of 402 MB
2018-04-19 02:14:54 FINER test.Simulate$MemoryLogger run -- Using 63 MB out of 402 MB
2018-04-19 02:15:14 FINER test.Simulate$MemoryLogger run -- Using 36 MB out of 402 MB
2018-04-19 02:15:34 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 402 MB
2018-04-19 02:15:54 FINER test.Simulate$MemoryLogger run -- Using 38 MB out of 402 MB
2018-04-19 02:16:14 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 402 MB
2018-04-19 02:16:34 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 402 MB
2018-04-19 02:16:54 FINER test.Simulate$MemoryLogger run -- Using 65 MB out of 402 MB
2018-04-19 02:17:14 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 402 MB
2018-04-19 02:17:34 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 402 MB
2018-04-19 02:17:54 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 402 MB
2018-04-19 02:18:14 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 402 MB
2018-04-19 02:18:34 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 402 MB
2018-04-19 02:18:54 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 402 MB
2018-04-19 02:19:14 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 402 MB
2018-04-19 02:19:34 FINER test.Simulate$MemoryLogger run -- Using 36 MB out of 402 MB
2018-04-19 02:19:54 FINER test.Simulate$MemoryLogger run -- Using 81 MB out of 402 MB
2018-04-19 02:20:14 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 402 MB
2018-04-19 02:20:34 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 402 MB
2018-04-19 02:20:54 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 402 MB
2018-04-19 02:21:14 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 402 MB
2018-04-19 02:21:34 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 402 MB
2018-04-19 02:21:54 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 402 MB
2018-04-19 02:22:14 FINER test.Simulate$MemoryLogger run -- Using 36 MB out of 402 MB
2018-04-19 02:22:34 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 402 MB
2018-04-19 02:22:54 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 402 MB
2018-04-19 02:23:14 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 402 MB
2018-04-19 02:23:34 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 402 MB
2018-04-19 02:23:54 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 402 MB
2018-04-19 02:24:14 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 402 MB
2018-04-19 02:24:34 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 402 MB
2018-04-19 02:24:54 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 402 MB
2018-04-19 02:25:14 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 402 MB
2018-04-19 02:25:34 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 402 MB
2018-04-19 02:25:54 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 402 MB
2018-04-19 02:26:14 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 402 MB
2018-04-19 02:26:34 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 402 MB
2018-04-19 02:26:54 FINER test.Simulate$MemoryLogger run -- Using 38 MB out of 402 MB
2018-04-19 02:27:14 FINER test.Simulate$MemoryLogger run -- Using 81 MB out of 402 MB
2018-04-19 02:27:34 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 402 MB
2018-04-19 02:27:54 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 402 MB
2018-04-19 02:28:14 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 402 MB
2018-04-19 02:28:34 FINER test.Simulate$MemoryLogger run -- Using 95 MB out of 402 MB
2018-04-19 02:28:54 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 402 MB
2018-04-19 02:29:14 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 402 MB
2018-04-19 02:29:34 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 402 MB
2018-04-19 02:29:54 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 402 MB
2018-04-19 02:30:14 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 406 MB
2018-04-19 02:30:34 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 402 MB
2018-04-19 02:30:54 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 405 MB
2018-04-19 02:31:14 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 402 MB
2018-04-19 02:31:34 FINER test.Simulate$MemoryLogger run -- Using 46 MB out of 402 MB
2018-04-19 02:31:54 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 402 MB
2018-04-19 02:32:14 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 402 MB
2018-04-19 02:32:34 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 402 MB
2018-04-19 02:32:54 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 402 MB
2018-04-19 02:33:14 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 402 MB
2018-04-19 02:33:34 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 402 MB
2018-04-19 02:33:54 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 403 MB
2018-04-19 02:34:14 FINER test.Simulate$MemoryLogger run -- Using 76 MB out of 402 MB
2018-04-19 02:34:34 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 402 MB
2018-04-19 02:34:54 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 402 MB
2018-04-19 02:35:14 FINER test.Simulate$MemoryLogger run -- Using 101 MB out of 402 MB
2018-04-19 02:35:34 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 402 MB
2018-04-19 02:35:54 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 402 MB
2018-04-19 02:36:14 FINER test.Simulate$MemoryLogger run -- Using 95 MB out of 402 MB
