2018-04-19 16:18:16 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-19 16:18:36 FINER test.Simulate$MemoryLogger run -- Using 323 MB out of 687 MB
2018-04-19 16:18:56 FINER test.Simulate$MemoryLogger run -- Using 328 MB out of 741 MB
2018-04-19 16:19:16 FINER test.Simulate$MemoryLogger run -- Using 150 MB out of 760 MB
2018-04-19 16:19:36 FINER test.Simulate$MemoryLogger run -- Using 25 MB out of 714 MB
2018-04-19 16:19:56 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 675 MB
2018-04-19 16:20:16 FINER test.Simulate$MemoryLogger run -- Using 283 MB out of 647 MB
2018-04-19 16:20:36 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 605 MB
2018-04-19 16:20:56 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 570 MB
2018-04-19 16:21:16 FINER test.Simulate$MemoryLogger run -- Using 219 MB out of 542 MB
2018-04-19 16:21:36 FINER test.Simulate$MemoryLogger run -- Using 167 MB out of 513 MB
2018-04-19 16:21:56 FINER test.Simulate$MemoryLogger run -- Using 161 MB out of 487 MB
2018-04-19 16:22:16 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 464 MB
2018-04-19 16:22:36 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 445 MB
2018-04-19 16:22:56 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 430 MB
2018-04-19 16:23:16 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 416 MB
2018-04-19 16:23:36 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 407 MB
2018-04-19 16:23:56 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 397 MB
2018-04-19 16:24:16 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 390 MB
2018-04-19 16:24:36 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 390 MB
2018-04-19 16:24:56 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 390 MB
2018-04-19 16:25:16 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 390 MB
2018-04-19 16:25:36 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 390 MB
2018-04-19 16:25:56 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 390 MB
2018-04-19 16:26:16 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 390 MB
2018-04-19 16:26:36 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 390 MB
2018-04-19 16:26:56 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 390 MB
2018-04-19 16:27:16 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 390 MB
2018-04-19 16:27:36 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 390 MB
2018-04-19 16:27:56 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 390 MB
2018-04-19 16:28:16 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 390 MB
2018-04-19 16:28:36 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 390 MB
2018-04-19 16:28:56 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 390 MB
2018-04-19 16:29:16 FINER test.Simulate$MemoryLogger run -- Using 63 MB out of 390 MB
2018-04-19 16:29:36 FINER test.Simulate$MemoryLogger run -- Using 24 MB out of 390 MB
2018-04-19 16:29:56 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 390 MB
2018-04-19 16:30:16 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 390 MB
2018-04-19 16:30:36 FINER test.Simulate$MemoryLogger run -- Using 26 MB out of 390 MB
2018-04-19 16:30:56 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 390 MB
2018-04-19 16:31:16 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 390 MB
2018-04-19 16:31:36 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 390 MB
2018-04-19 16:31:56 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 390 MB
2018-04-19 16:32:16 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 390 MB
2018-04-19 16:32:36 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 390 MB
2018-04-19 16:32:56 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 390 MB
2018-04-19 16:33:16 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 390 MB
2018-04-19 16:33:36 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 390 MB
2018-04-19 16:33:56 FINER test.Simulate$MemoryLogger run -- Using 81 MB out of 390 MB
2018-04-19 16:34:16 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 390 MB
2018-04-19 16:34:36 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 390 MB
2018-04-19 16:34:56 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 390 MB
2018-04-19 16:35:16 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 390 MB
2018-04-19 16:35:36 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 390 MB
2018-04-19 16:35:56 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 390 MB
2018-04-19 16:36:16 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 390 MB
2018-04-19 16:36:36 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 390 MB
2018-04-19 16:36:56 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 390 MB
2018-04-19 16:37:16 FINER test.Simulate$MemoryLogger run -- Using 65 MB out of 390 MB
2018-04-19 16:37:36 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 390 MB
2018-04-19 16:37:56 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 390 MB
2018-04-19 16:38:16 FINER test.Simulate$MemoryLogger run -- Using 66 MB out of 390 MB
2018-04-19 16:38:36 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 390 MB
2018-04-19 16:38:56 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 390 MB
2018-04-19 16:39:16 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 390 MB
2018-04-19 16:39:36 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 390 MB
2018-04-19 16:39:57 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 390 MB
2018-04-19 16:40:17 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 390 MB
2018-04-19 16:40:37 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 390 MB
2018-04-19 16:40:57 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 390 MB
2018-04-19 16:41:17 FINER test.Simulate$MemoryLogger run -- Using 35 MB out of 390 MB
2018-04-19 16:41:37 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 390 MB
2018-04-19 16:41:57 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 390 MB
2018-04-19 16:42:17 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 390 MB
2018-04-19 16:42:37 FINER test.Simulate$MemoryLogger run -- Using 38 MB out of 390 MB
2018-04-19 16:42:57 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 390 MB
2018-04-19 16:43:17 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 390 MB
2018-04-19 16:43:37 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 390 MB
2018-04-19 16:43:57 FINER test.Simulate$MemoryLogger run -- Using 43 MB out of 390 MB
