2018-04-19 16:18:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-19 16:18:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 297 on Area1
2018-04-19 16:19:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 645 on Area1
2018-04-19 16:19:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1007 on Area1
2018-04-19 16:19:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1370 on Area1
2018-04-19 16:20:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1739 on Area1
2018-04-19 16:20:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2102 on Area1
2018-04-19 16:20:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2475 on Area1
2018-04-19 16:21:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2839 on Area1
2018-04-19 16:21:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3208 on Area1
2018-04-19 16:21:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3575 on Area1
2018-04-19 16:22:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3942 on Area1
2018-04-19 16:22:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4302 on Area1
2018-04-19 16:22:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4668 on Area1
2018-04-19 16:23:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5033 on Area1
2018-04-19 16:23:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5395 on Area1
2018-04-19 16:23:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5761 on Area1
2018-04-19 16:24:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6106 on Area1
2018-04-19 16:24:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6465 on Area1
2018-04-19 16:24:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6829 on Area1
2018-04-19 16:25:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7185 on Area1
2018-04-19 16:25:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7537 on Area1
2018-04-19 16:25:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7897 on Area1
2018-04-19 16:26:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8244 on Area1
2018-04-19 16:26:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8599 on Area1
2018-04-19 16:26:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8962 on Area1
2018-04-19 16:27:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9318 on Area1
2018-04-19 16:27:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9677 on Area1
2018-04-19 16:27:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10037 on Area1
2018-04-19 16:28:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10395 on Area1
2018-04-19 16:28:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 10752 on Area1
2018-04-19 16:28:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11108 on Area1
2018-04-19 16:29:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11469 on Area1
2018-04-19 16:29:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 11822 on Area1
2018-04-19 16:29:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12179 on Area1
2018-04-19 16:30:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12539 on Area1
2018-04-19 16:30:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 12897 on Area1
2018-04-19 16:30:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13262 on Area1
2018-04-19 16:31:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13618 on Area1
2018-04-19 16:31:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13977 on Area1
2018-04-19 16:31:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14337 on Area1
2018-04-19 16:32:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 14694 on Area1
2018-04-19 16:32:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15047 on Area1
2018-04-19 16:32:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15405 on Area1
2018-04-19 16:33:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 15761 on Area1
2018-04-19 16:33:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16115 on Area1
2018-04-19 16:33:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16474 on Area1
2018-04-19 16:34:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16833 on Area1
2018-04-19 16:34:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17190 on Area1
2018-04-19 16:34:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17550 on Area1
2018-04-19 16:35:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 17906 on Area1
2018-04-19 16:35:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18264 on Area1
2018-04-19 16:35:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18619 on Area1
2018-04-19 16:36:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18972 on Area1
2018-04-19 16:36:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19324 on Area1
2018-04-19 16:36:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 19681 on Area1
2018-04-19 16:37:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20033 on Area1
2018-04-19 16:37:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20385 on Area1
2018-04-19 16:37:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 20743 on Area1
2018-04-19 16:38:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21100 on Area1
2018-04-19 16:38:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21453 on Area1
2018-04-19 16:38:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21810 on Area1
2018-04-19 16:39:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22167 on Area1
2018-04-19 16:39:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22523 on Area1
2018-04-19 16:39:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22869 on Area1
2018-04-19 16:40:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23217 on Area1
2018-04-19 16:40:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23572 on Area1
2018-04-19 16:40:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 23924 on Area1
2018-04-19 16:41:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24281 on Area1
2018-04-19 16:41:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24637 on Area1
2018-04-19 16:41:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24985 on Area1
2018-04-19 16:42:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25337 on Area1
2018-04-19 16:42:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25687 on Area1
2018-04-19 16:42:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26044 on Area1
2018-04-19 16:43:00 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26403 on Area1
2018-04-19 16:43:20 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 26754 on Area1
2018-04-19 16:43:40 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27109 on Area1
