2018-04-20 10:02:26 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-20 10:02:46 FINER test.Simulate$MemoryLogger run -- Using 103 MB out of 594 MB
2018-04-20 10:03:06 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 628 MB
2018-04-20 10:03:26 FINER test.Simulate$MemoryLogger run -- Using 123 MB out of 651 MB
2018-04-20 10:03:46 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 647 MB
2018-04-20 10:04:06 FINER test.Simulate$MemoryLogger run -- Using 214 MB out of 615 MB
2018-04-20 10:04:26 FINER test.Simulate$MemoryLogger run -- Using 210 MB out of 584 MB
2018-04-20 10:04:46 FINER test.Simulate$MemoryLogger run -- Using 190 MB out of 557 MB
2018-04-20 10:05:06 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 529 MB
2018-04-20 10:05:26 FINER test.Simulate$MemoryLogger run -- Using 161 MB out of 504 MB
2018-04-20 10:05:46 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 482 MB
2018-04-20 10:06:06 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 464 MB
2018-04-20 10:06:26 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 449 MB
2018-04-20 10:06:46 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 436 MB
2018-04-20 10:07:06 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 427 MB
2018-04-20 10:07:26 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 417 MB
2018-04-20 10:07:46 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 410 MB
2018-04-20 10:08:06 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 410 MB
2018-04-20 10:08:26 FINER test.Simulate$MemoryLogger run -- Using 35 MB out of 410 MB
2018-04-20 10:08:46 FINER test.Simulate$MemoryLogger run -- Using 21 MB out of 410 MB
2018-04-20 10:09:06 FINER test.Simulate$MemoryLogger run -- Using 81 MB out of 410 MB
2018-04-20 10:09:26 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 410 MB
2018-04-20 10:09:46 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 410 MB
2018-04-20 10:10:06 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 410 MB
2018-04-20 10:10:26 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 410 MB
2018-04-20 10:10:46 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 410 MB
2018-04-20 10:11:06 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 410 MB
2018-04-20 10:11:26 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 410 MB
2018-04-20 10:11:46 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 410 MB
2018-04-20 10:12:06 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 410 MB
2018-04-20 10:12:26 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 410 MB
2018-04-20 10:12:46 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 410 MB
2018-04-20 10:13:06 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 410 MB
2018-04-20 10:13:26 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 410 MB
2018-04-20 10:13:46 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 410 MB
2018-04-20 10:14:06 FINER test.Simulate$MemoryLogger run -- Using 30 MB out of 410 MB
2018-04-20 10:14:26 FINER test.Simulate$MemoryLogger run -- Using 26 MB out of 410 MB
2018-04-20 10:14:46 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 410 MB
2018-04-20 10:15:06 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 410 MB
2018-04-20 10:15:26 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 410 MB
2018-04-20 10:15:46 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 410 MB
2018-04-20 10:16:06 FINER test.Simulate$MemoryLogger run -- Using 30 MB out of 410 MB
2018-04-20 10:16:26 FINER test.Simulate$MemoryLogger run -- Using 79 MB out of 410 MB
2018-04-20 10:16:46 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 410 MB
2018-04-20 10:17:06 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 410 MB
2018-04-20 10:17:26 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 410 MB
2018-04-20 10:17:46 FINER test.Simulate$MemoryLogger run -- Using 43 MB out of 410 MB
2018-04-20 10:18:06 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 410 MB
2018-04-20 10:18:26 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 410 MB
2018-04-20 10:18:46 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 410 MB
2018-04-20 10:19:06 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 410 MB
2018-04-20 10:19:26 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 410 MB
2018-04-20 10:19:46 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 410 MB
2018-04-20 10:20:06 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 410 MB
2018-04-20 10:20:26 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 410 MB
2018-04-20 10:20:46 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 410 MB
2018-04-20 10:21:06 FINER test.Simulate$MemoryLogger run -- Using 82 MB out of 410 MB
2018-04-20 10:21:26 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 410 MB
2018-04-20 10:21:46 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 410 MB
2018-04-20 10:22:06 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 410 MB
2018-04-20 10:22:26 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 410 MB
2018-04-20 10:22:46 FINER test.Simulate$MemoryLogger run -- Using 62 MB out of 410 MB
2018-04-20 10:23:06 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 410 MB
2018-04-20 10:23:26 FINER test.Simulate$MemoryLogger run -- Using 49 MB out of 410 MB
2018-04-20 10:23:46 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 410 MB
2018-04-20 10:24:06 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 410 MB
2018-04-20 10:24:26 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 410 MB
2018-04-20 10:24:46 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 410 MB
