XMI Q1 Q2 Q3 Q4
0000020 3 0 1 1
0000040 3 0 1 2
0000080 3 1 1 1
0000160 4 1 1 1
0000320 4 6 1 1
0000640 4 10 2 2
0001280 10 4 3 3
0002560 8 9 5 4
0005120 13 12 8 6
0010240 23 23 15 10
0020480 38 36 31 18
0040960 47 44 35 34
0081920 69 56 50 41
0163840 93 79 74 52
0327680 184 128 122 74
0655360 ! ! ! !


TEMF Q1 Q2 Q3 Q4
0000020 26 10 15 16
0000040 39 13 14 13
0000080 31 11 20 17
0000160 41 12 23 12
0000320 47 11 15 14
0000640 49 10 16 27
0001280 94 21 16 22
0002560 101 15 21 38
0005120 107 10 16 66
0010240 157 11 19 79
0020480 239 10 22 172
0040960 1438 23 24 257
0081920 11570 28 21 417
0163840 28913 36 30 852
0327680 61101 33 28 2163
0655360 135975 36 36 3595
