2018-04-20 21:16:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-20 21:16:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8631 on Area1
2018-04-20 21:17:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 13833 on Area1
2018-04-20 21:17:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 16602 on Area1
2018-04-20 21:17:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 18697 on Area1
2018-04-20 21:18:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 21101 on Area1
2018-04-20 21:18:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 22671 on Area1
2018-04-20 21:18:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 24187 on Area1
2018-04-20 21:19:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 25869 on Area1
2018-04-20 21:19:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 27272 on Area1
2018-04-20 21:19:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 28622 on Area1
2018-04-20 21:20:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 30219 on Area1
2018-04-20 21:20:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 31516 on Area1
2018-04-20 21:20:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 32775 on Area1
2018-04-20 21:21:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 34217 on Area1
2018-04-20 21:21:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 35353 on Area1
2018-04-20 21:21:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 36442 on Area1
2018-04-20 21:22:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 37714 on Area1
2018-04-20 21:22:34 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 38712 on Area1
2018-04-20 21:22:54 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 39706 on Area1
2018-04-20 21:23:14 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 40897 on Area1
