2018-04-20 23:51:33 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-20 23:51:53 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 491 MB
2018-04-20 23:52:13 FINER test.Simulate$MemoryLogger run -- Using 127 MB out of 491 MB
2018-04-20 23:52:33 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 491 MB
2018-04-20 23:52:53 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 491 MB
2018-04-20 23:53:13 FINER test.Simulate$MemoryLogger run -- Using 118 MB out of 491 MB
2018-04-20 23:53:33 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 491 MB
2018-04-20 23:53:53 FINER test.Simulate$MemoryLogger run -- Using 50 MB out of 491 MB
2018-04-20 23:54:13 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 491 MB
2018-04-20 23:54:33 FINER test.Simulate$MemoryLogger run -- Using 105 MB out of 491 MB
2018-04-20 23:54:53 FINER test.Simulate$MemoryLogger run -- Using 128 MB out of 491 MB
2018-04-20 23:55:13 FINER test.Simulate$MemoryLogger run -- Using 150 MB out of 491 MB
2018-04-20 23:55:33 FINER test.Simulate$MemoryLogger run -- Using 168 MB out of 491 MB
2018-04-20 23:55:53 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 491 MB
2018-04-20 23:56:13 FINER test.Simulate$MemoryLogger run -- Using 100 MB out of 491 MB
2018-04-20 23:56:33 FINER test.Simulate$MemoryLogger run -- Using 117 MB out of 491 MB
2018-04-20 23:56:53 FINER test.Simulate$MemoryLogger run -- Using 135 MB out of 491 MB
2018-04-20 23:57:13 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 491 MB
2018-04-20 23:57:33 FINER test.Simulate$MemoryLogger run -- Using 171 MB out of 491 MB
2018-04-20 23:57:53 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 488 MB
2018-04-20 23:58:13 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 488 MB
2018-04-20 23:58:33 FINER test.Simulate$MemoryLogger run -- Using 111 MB out of 488 MB
2018-04-20 23:58:53 FINER test.Simulate$MemoryLogger run -- Using 125 MB out of 488 MB
2018-04-20 23:59:13 FINER test.Simulate$MemoryLogger run -- Using 143 MB out of 488 MB
2018-04-20 23:59:33 FINER test.Simulate$MemoryLogger run -- Using 157 MB out of 488 MB
2018-04-20 23:59:53 FINER test.Simulate$MemoryLogger run -- Using 172 MB out of 488 MB
2018-04-21 00:00:13 FINER test.Simulate$MemoryLogger run -- Using 192 MB out of 488 MB
2018-04-21 00:00:33 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 441 MB
2018-04-21 00:00:53 FINER test.Simulate$MemoryLogger run -- Using 118 MB out of 441 MB
2018-04-21 00:01:13 FINER test.Simulate$MemoryLogger run -- Using 138 MB out of 441 MB
2018-04-21 00:01:33 FINER test.Simulate$MemoryLogger run -- Using 155 MB out of 441 MB
2018-04-21 00:01:53 FINER test.Simulate$MemoryLogger run -- Using 101 MB out of 440 MB
2018-04-21 00:02:13 FINER test.Simulate$MemoryLogger run -- Using 121 MB out of 440 MB
2018-04-21 00:02:33 FINER test.Simulate$MemoryLogger run -- Using 138 MB out of 440 MB
2018-04-21 00:02:53 FINER test.Simulate$MemoryLogger run -- Using 157 MB out of 440 MB
2018-04-21 00:03:13 FINER test.Simulate$MemoryLogger run -- Using 106 MB out of 459 MB
2018-04-21 00:03:33 FINER test.Simulate$MemoryLogger run -- Using 123 MB out of 459 MB
2018-04-21 00:03:53 FINER test.Simulate$MemoryLogger run -- Using 138 MB out of 459 MB
2018-04-21 00:04:13 FINER test.Simulate$MemoryLogger run -- Using 154 MB out of 459 MB
2018-04-21 00:04:33 FINER test.Simulate$MemoryLogger run -- Using 168 MB out of 459 MB
2018-04-21 00:04:53 FINER test.Simulate$MemoryLogger run -- Using 115 MB out of 444 MB
2018-04-21 00:05:13 FINER test.Simulate$MemoryLogger run -- Using 132 MB out of 444 MB
2018-04-21 00:05:33 FINER test.Simulate$MemoryLogger run -- Using 147 MB out of 444 MB
2018-04-21 00:05:53 FINER test.Simulate$MemoryLogger run -- Using 160 MB out of 444 MB
2018-04-21 00:06:13 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 444 MB
2018-04-21 00:06:33 FINER test.Simulate$MemoryLogger run -- Using 123 MB out of 459 MB
2018-04-21 00:06:53 FINER test.Simulate$MemoryLogger run -- Using 137 MB out of 459 MB
2018-04-21 00:07:13 FINER test.Simulate$MemoryLogger run -- Using 151 MB out of 459 MB
2018-04-21 00:07:33 FINER test.Simulate$MemoryLogger run -- Using 165 MB out of 459 MB
2018-04-21 00:07:53 FINER test.Simulate$MemoryLogger run -- Using 178 MB out of 459 MB
2018-04-21 00:08:13 FINER test.Simulate$MemoryLogger run -- Using 125 MB out of 458 MB
2018-04-21 00:08:33 FINER test.Simulate$MemoryLogger run -- Using 139 MB out of 458 MB
2018-04-21 00:08:53 FINER test.Simulate$MemoryLogger run -- Using 152 MB out of 458 MB
2018-04-21 00:09:13 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 458 MB
2018-04-21 00:09:33 FINER test.Simulate$MemoryLogger run -- Using 178 MB out of 458 MB
2018-04-21 00:09:53 FINER test.Simulate$MemoryLogger run -- Using 190 MB out of 458 MB
2018-04-21 00:10:13 FINER test.Simulate$MemoryLogger run -- Using 136 MB out of 459 MB
2018-04-21 00:10:33 FINER test.Simulate$MemoryLogger run -- Using 148 MB out of 459 MB
2018-04-21 00:10:53 FINER test.Simulate$MemoryLogger run -- Using 161 MB out of 459 MB
2018-04-21 00:11:13 FINER test.Simulate$MemoryLogger run -- Using 173 MB out of 459 MB
2018-04-21 00:11:33 FINER test.Simulate$MemoryLogger run -- Using 184 MB out of 459 MB
2018-04-21 00:11:53 FINER test.Simulate$MemoryLogger run -- Using 194 MB out of 459 MB
2018-04-21 00:12:13 FINER test.Simulate$MemoryLogger run -- Using 141 MB out of 421 MB
2018-04-21 00:12:33 FINER test.Simulate$MemoryLogger run -- Using 153 MB out of 421 MB
2018-04-21 00:12:53 FINER test.Simulate$MemoryLogger run -- Using 166 MB out of 421 MB
2018-04-21 00:13:13 FINER test.Simulate$MemoryLogger run -- Using 177 MB out of 421 MB
2018-04-21 00:13:33 FINER test.Simulate$MemoryLogger run -- Using 189 MB out of 421 MB
2018-04-21 00:13:53 FINER test.Simulate$MemoryLogger run -- Using 199 MB out of 421 MB
2018-04-21 00:14:13 FINER test.Simulate$MemoryLogger run -- Using 209 MB out of 421 MB
2018-04-21 00:14:33 FINER test.Simulate$MemoryLogger run -- Using 160 MB out of 457 MB
2018-04-21 00:14:53 FINER test.Simulate$MemoryLogger run -- Using 170 MB out of 457 MB
2018-04-21 00:15:13 FINER test.Simulate$MemoryLogger run -- Using 181 MB out of 457 MB
2018-04-21 00:15:33 FINER test.Simulate$MemoryLogger run -- Using 192 MB out of 457 MB
