2018-04-20 23:51:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Logging numbers of iterations every 20000 millisecons
2018-04-20 23:51:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 247 on Area1
2018-04-20 23:52:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 525 on Area1
2018-04-20 23:52:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 808 on Area1
2018-04-20 23:52:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1091 on Area1
2018-04-20 23:53:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1375 on Area1
2018-04-20 23:53:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1667 on Area1
2018-04-20 23:53:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 1969 on Area1
2018-04-20 23:54:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2250 on Area1
2018-04-20 23:54:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2549 on Area1
2018-04-20 23:54:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 2839 on Area1
2018-04-20 23:55:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3125 on Area1
2018-04-20 23:55:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3429 on Area1
2018-04-20 23:55:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3715 on Area1
2018-04-20 23:56:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 3997 on Area1
2018-04-20 23:56:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4278 on Area1
2018-04-20 23:56:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4569 on Area1
2018-04-20 23:57:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 4855 on Area1
2018-04-20 23:57:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5152 on Area1
2018-04-20 23:57:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5446 on Area1
2018-04-20 23:58:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 5722 on Area1
2018-04-20 23:58:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6019 on Area1
2018-04-20 23:58:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6315 on Area1
2018-04-20 23:59:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6607 on Area1
2018-04-20 23:59:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 6907 on Area1
2018-04-20 23:59:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7212 on Area1
2018-04-21 00:00:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7509 on Area1
2018-04-21 00:00:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 7825 on Area1
2018-04-21 00:00:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8150 on Area1
2018-04-21 00:01:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8477 on Area1
2018-04-21 00:01:27 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 8801 on Area1
2018-04-21 00:01:47 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9129 on Area1
2018-04-21 00:02:07 FINER tll.impl.internal.InternalAreaImpl$IterationLogger run -- Running iteration 9453 on Area1
