2018-04-21 02:29:33 FINER test.Simulate$MemoryLogger run -- Logging memory usage every 20000 millisecons
2018-04-21 02:29:53 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 381 MB
2018-04-21 02:30:13 FINER test.Simulate$MemoryLogger run -- Using 134 MB out of 386 MB
2018-04-21 02:30:33 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 389 MB
2018-04-21 02:30:53 FINER test.Simulate$MemoryLogger run -- Using 30 MB out of 362 MB
2018-04-21 02:31:13 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 341 MB
2018-04-21 02:31:33 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 321 MB
2018-04-21 02:31:53 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 305 MB
2018-04-21 02:32:13 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 294 MB
2018-04-21 02:32:33 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 282 MB
2018-04-21 02:32:53 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 278 MB
2018-04-21 02:33:13 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 290 MB
2018-04-21 02:33:33 FINER test.Simulate$MemoryLogger run -- Using 27 MB out of 278 MB
2018-04-21 02:33:53 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 278 MB
2018-04-21 02:34:13 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 278 MB
2018-04-21 02:34:33 FINER test.Simulate$MemoryLogger run -- Using 29 MB out of 278 MB
2018-04-21 02:34:53 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 278 MB
2018-04-21 02:35:13 FINER test.Simulate$MemoryLogger run -- Using 42 MB out of 278 MB
2018-04-21 02:35:33 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 278 MB
2018-04-21 02:35:53 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 278 MB
2018-04-21 02:36:13 FINER test.Simulate$MemoryLogger run -- Using 31 MB out of 278 MB
2018-04-21 02:36:33 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 02:36:53 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 278 MB
2018-04-21 02:37:13 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 278 MB
2018-04-21 02:37:33 FINER test.Simulate$MemoryLogger run -- Using 25 MB out of 281 MB
2018-04-21 02:37:53 FINER test.Simulate$MemoryLogger run -- Using 32 MB out of 278 MB
2018-04-21 02:38:13 FINER test.Simulate$MemoryLogger run -- Using 33 MB out of 278 MB
2018-04-21 02:38:33 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 278 MB
2018-04-21 02:38:53 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 278 MB
2018-04-21 02:39:13 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 278 MB
2018-04-21 02:39:33 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 278 MB
2018-04-21 02:39:53 FINER test.Simulate$MemoryLogger run -- Using 65 MB out of 282 MB
2018-04-21 02:40:13 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 278 MB
2018-04-21 02:40:33 FINER test.Simulate$MemoryLogger run -- Using 41 MB out of 281 MB
2018-04-21 02:40:53 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 278 MB
2018-04-21 02:41:13 FINER test.Simulate$MemoryLogger run -- Using 57 MB out of 278 MB
2018-04-21 02:41:33 FINER test.Simulate$MemoryLogger run -- Using 66 MB out of 278 MB
2018-04-21 02:41:53 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 278 MB
2018-04-21 02:42:13 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 278 MB
2018-04-21 02:42:33 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 282 MB
2018-04-21 02:42:53 FINER test.Simulate$MemoryLogger run -- Using 44 MB out of 278 MB
2018-04-21 02:43:13 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 278 MB
2018-04-21 02:43:33 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 278 MB
2018-04-21 02:43:53 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 278 MB
2018-04-21 02:44:13 FINER test.Simulate$MemoryLogger run -- Using 62 MB out of 278 MB
2018-04-21 02:44:33 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 278 MB
2018-04-21 02:44:53 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 278 MB
2018-04-21 02:45:13 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 279 MB
2018-04-21 02:45:33 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 278 MB
2018-04-21 02:45:53 FINER test.Simulate$MemoryLogger run -- Using 39 MB out of 278 MB
2018-04-21 02:46:13 FINER test.Simulate$MemoryLogger run -- Using 37 MB out of 278 MB
2018-04-21 02:46:33 FINER test.Simulate$MemoryLogger run -- Using 34 MB out of 278 MB
2018-04-21 02:46:53 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 278 MB
2018-04-21 02:47:13 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 278 MB
2018-04-21 02:47:33 FINER test.Simulate$MemoryLogger run -- Using 40 MB out of 280 MB
2018-04-21 02:47:53 FINER test.Simulate$MemoryLogger run -- Using 42 MB out of 295 MB
2018-04-21 02:48:13 FINER test.Simulate$MemoryLogger run -- Using 47 MB out of 284 MB
2018-04-21 02:48:33 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 278 MB
2018-04-21 02:48:53 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 278 MB
2018-04-21 02:49:13 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 278 MB
2018-04-21 02:49:33 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 278 MB
2018-04-21 02:49:53 FINER test.Simulate$MemoryLogger run -- Using 86 MB out of 282 MB
2018-04-21 02:50:13 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 302 MB
2018-04-21 02:50:33 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 292 MB
2018-04-21 02:50:53 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 280 MB
2018-04-21 02:51:13 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 278 MB
2018-04-21 02:51:33 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 278 MB
2018-04-21 02:51:53 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 287 MB
2018-04-21 02:52:13 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 278 MB
2018-04-21 02:52:33 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 278 MB
2018-04-21 02:52:53 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 286 MB
2018-04-21 02:53:13 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 278 MB
2018-04-21 02:53:33 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 281 MB
2018-04-21 02:53:53 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 298 MB
2018-04-21 02:54:13 FINER test.Simulate$MemoryLogger run -- Using 47 MB out of 288 MB
2018-04-21 02:54:33 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 02:54:53 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 286 MB
2018-04-21 02:55:13 FINER test.Simulate$MemoryLogger run -- Using 52 MB out of 280 MB
2018-04-21 02:55:33 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 279 MB
2018-04-21 02:55:53 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 281 MB
2018-04-21 02:56:13 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 278 MB
2018-04-21 02:56:33 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 289 MB
2018-04-21 02:56:53 FINER test.Simulate$MemoryLogger run -- Using 55 MB out of 278 MB
2018-04-21 02:57:13 FINER test.Simulate$MemoryLogger run -- Using 77 MB out of 278 MB
2018-04-21 02:57:33 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 02:57:53 FINER test.Simulate$MemoryLogger run -- Using 43 MB out of 293 MB
2018-04-21 02:58:13 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 282 MB
2018-04-21 02:58:33 FINER test.Simulate$MemoryLogger run -- Using 81 MB out of 279 MB
2018-04-21 02:58:53 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 278 MB
2018-04-21 02:59:13 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 278 MB
2018-04-21 02:59:33 FINER test.Simulate$MemoryLogger run -- Using 88 MB out of 288 MB
2018-04-21 02:59:53 FINER test.Simulate$MemoryLogger run -- Using 76 MB out of 295 MB
2018-04-21 03:00:13 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 284 MB
2018-04-21 03:00:33 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 278 MB
2018-04-21 03:00:53 FINER test.Simulate$MemoryLogger run -- Using 53 MB out of 291 MB
2018-04-21 03:01:13 FINER test.Simulate$MemoryLogger run -- Using 96 MB out of 293 MB
2018-04-21 03:01:33 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 284 MB
2018-04-21 03:01:53 FINER test.Simulate$MemoryLogger run -- Using 48 MB out of 281 MB
2018-04-21 03:02:13 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 278 MB
2018-04-21 03:02:33 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 278 MB
2018-04-21 03:02:53 FINER test.Simulate$MemoryLogger run -- Using 45 MB out of 278 MB
2018-04-21 03:03:13 FINER test.Simulate$MemoryLogger run -- Using 99 MB out of 288 MB
2018-04-21 03:03:33 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 294 MB
2018-04-21 03:03:53 FINER test.Simulate$MemoryLogger run -- Using 101 MB out of 285 MB
2018-04-21 03:04:13 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 03:04:33 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 288 MB
2018-04-21 03:04:53 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 278 MB
2018-04-21 03:05:13 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 278 MB
2018-04-21 03:05:33 FINER test.Simulate$MemoryLogger run -- Using 94 MB out of 286 MB
2018-04-21 03:05:53 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 03:06:13 FINER test.Simulate$MemoryLogger run -- Using 51 MB out of 278 MB
2018-04-21 03:06:33 FINER test.Simulate$MemoryLogger run -- Using 97 MB out of 278 MB
2018-04-21 03:06:53 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 278 MB
2018-04-21 03:07:13 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 278 MB
2018-04-21 03:07:33 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 278 MB
2018-04-21 03:07:53 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 278 MB
2018-04-21 03:08:13 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 03:08:33 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 278 MB
2018-04-21 03:08:53 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 03:09:13 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 278 MB
2018-04-21 03:09:33 FINER test.Simulate$MemoryLogger run -- Using 62 MB out of 278 MB
2018-04-21 03:09:53 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 278 MB
2018-04-21 03:10:13 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 278 MB
2018-04-21 03:10:33 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 278 MB
2018-04-21 03:10:53 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 278 MB
2018-04-21 03:11:13 FINER test.Simulate$MemoryLogger run -- Using 87 MB out of 278 MB
2018-04-21 03:11:33 FINER test.Simulate$MemoryLogger run -- Using 54 MB out of 278 MB
2018-04-21 03:11:53 FINER test.Simulate$MemoryLogger run -- Using 69 MB out of 278 MB
2018-04-21 03:12:13 FINER test.Simulate$MemoryLogger run -- Using 71 MB out of 278 MB
2018-04-21 03:12:33 FINER test.Simulate$MemoryLogger run -- Using 64 MB out of 278 MB
2018-04-21 03:12:53 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 278 MB
2018-04-21 03:13:13 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 278 MB
2018-04-21 03:13:33 FINER test.Simulate$MemoryLogger run -- Using 60 MB out of 278 MB
2018-04-21 03:13:53 FINER test.Simulate$MemoryLogger run -- Using 75 MB out of 278 MB
2018-04-21 03:14:13 FINER test.Simulate$MemoryLogger run -- Using 100 MB out of 278 MB
2018-04-21 03:14:33 FINER test.Simulate$MemoryLogger run -- Using 73 MB out of 278 MB
2018-04-21 03:14:53 FINER test.Simulate$MemoryLogger run -- Using 90 MB out of 278 MB
2018-04-21 03:15:13 FINER test.Simulate$MemoryLogger run -- Using 59 MB out of 284 MB
2018-04-21 03:15:33 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 278 MB
2018-04-21 03:15:53 FINER test.Simulate$MemoryLogger run -- Using 92 MB out of 278 MB
2018-04-21 03:16:13 FINER test.Simulate$MemoryLogger run -- Using 95 MB out of 278 MB
2018-04-21 03:16:33 FINER test.Simulate$MemoryLogger run -- Using 83 MB out of 278 MB
2018-04-21 03:16:53 FINER test.Simulate$MemoryLogger run -- Using 104 MB out of 278 MB
2018-04-21 03:17:13 FINER test.Simulate$MemoryLogger run -- Using 56 MB out of 278 MB
2018-04-21 03:17:33 FINER test.Simulate$MemoryLogger run -- Using 76 MB out of 278 MB
2018-04-21 03:17:53 FINER test.Simulate$MemoryLogger run -- Using 92 MB out of 278 MB
2018-04-21 03:18:13 FINER test.Simulate$MemoryLogger run -- Using 61 MB out of 278 MB
2018-04-21 03:18:33 FINER test.Simulate$MemoryLogger run -- Using 70 MB out of 278 MB
2018-04-21 03:18:53 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 278 MB
2018-04-21 03:19:13 FINER test.Simulate$MemoryLogger run -- Using 105 MB out of 278 MB
2018-04-21 03:19:33 FINER test.Simulate$MemoryLogger run -- Using 66 MB out of 278 MB
2018-04-21 03:19:53 FINER test.Simulate$MemoryLogger run -- Using 80 MB out of 278 MB
2018-04-21 03:20:13 FINER test.Simulate$MemoryLogger run -- Using 72 MB out of 278 MB
2018-04-21 03:20:33 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 278 MB
2018-04-21 03:20:53 FINER test.Simulate$MemoryLogger run -- Using 93 MB out of 278 MB
2018-04-21 03:21:13 FINER test.Simulate$MemoryLogger run -- Using 58 MB out of 278 MB
2018-04-21 03:21:33 FINER test.Simulate$MemoryLogger run -- Using 68 MB out of 278 MB
2018-04-21 03:21:53 FINER test.Simulate$MemoryLogger run -- Using 84 MB out of 278 MB
2018-04-21 03:22:13 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 278 MB
2018-04-21 03:22:33 FINER test.Simulate$MemoryLogger run -- Using 85 MB out of 278 MB
2018-04-21 03:22:53 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 278 MB
2018-04-21 03:23:13 FINER test.Simulate$MemoryLogger run -- Using 95 MB out of 278 MB
2018-04-21 03:23:33 FINER test.Simulate$MemoryLogger run -- Using 95 MB out of 278 MB
2018-04-21 03:23:53 FINER test.Simulate$MemoryLogger run -- Using 63 MB out of 278 MB
2018-04-21 03:24:13 FINER test.Simulate$MemoryLogger run -- Using 74 MB out of 278 MB
2018-04-21 03:24:33 FINER test.Simulate$MemoryLogger run -- Using 91 MB out of 278 MB
2018-04-21 03:24:53 FINER test.Simulate$MemoryLogger run -- Using 89 MB out of 278 MB
2018-04-21 03:25:13 FINER test.Simulate$MemoryLogger run -- Using 98 MB out of 278 MB
2018-04-21 03:25:33 FINER test.Simulate$MemoryLogger run -- Using 67 MB out of 278 MB
2018-04-21 03:25:53 FINER test.Simulate$MemoryLogger run -- Using 78 MB out of 278 MB
