XMI Q1 Q2 Q3 Q4
0000020 4 1 1 1
0000040 3 1 0 2
0000080 3 0 1 1
0000160 3 1 1 1
0000320 3 2 1 1
0000640 4 3 3 2
0001280 5 9 3 4
0002560 9 7 5 3
0005120 22 13 8 6
0010240 23 24 20 10
0020480 37 39 29 18
0040960 43 49 40 35
0081920 79 63 60 45
0163840 ! ! ! !
0327680 ! ! ! !


TEMF Q1 Q2 Q3 Q4
0000020 26 10 35 31
0000040 56 12 17 11
0000080 53 10 18 15
0000160 52 13 20 12
0000320 43 19 16 14
0000640 67 13 16 34
0001280 79 10 36 30
0002560 79 10 15 33
0005120 145 11 17 65
0010240 225 14 29 93
0020480 1694 17 21 138
0040960 5492 31 32 318
0081920 14453 47 35 602
0163840 34035 42 23 1510
0327680 68839 34 20 2262
